Date,Country,City,Specie,count,min,max,median,variance
2024-05-12,RO,Ploieşti,humidity,24,50.2,96.0,75.2,1656.36
2024-06-13,RO,Ploieşti,humidity,24,23.0,97.0,57.5,4597.83
2024-07-03,RO,Ploieşti,humidity,24,45.5,100.0,70.5,4581.23
2024-08-09,RO,Ploieşti,humidity,24,30.0,87.6,60.0,2686.61
2024-08-17,RO,Ploieşti,humidity,28,16.0,87.1,27.5,4399.47
2024-10-29,RO,Ploieşti,humidity,120,48.0,100.0,81.0,3713.1
2024-04-23,RO,Ploieşti,humidity,24,92.8,100.0,100.0,55.43
2024-10-31,RO,Ploieşti,humidity,120,39.8,98.6,66.8,4691.93
2024-12-06,RO,Ploieşti,humidity,90,88.4,97.9,93.0,120.41
2024-08-08,RO,Ploieşti,humidity,24,26.0,89.1,51.9,4728.49
2024-05-11,RO,Ploieşti,humidity,24,29.7,94.6,54.2,4162.74
2024-06-26,RO,Ploieşti,humidity,24,24.0,56.0,37.3,1180.89
2024-07-01,RO,Ploieşti,humidity,24,15.0,66.0,26.0,3075.48
2024-11-24,RO,Ploieşti,humidity,120,31.5,87.2,66.5,2553.72
2024-04-15,RO,Ploieşti,humidity,24,19.5,90.0,49.0,5204.76
2024-08-03,RO,Ploieşti,humidity,24,19.5,62.0,36.0,1397.45
2024-09-21,RO,Ploieşti,humidity,96,19.0,70.5,38.1,2606.49
2024-09-30,RO,Ploieşti,humidity,96,53.0,100.0,86.4,2530.39
2024-10-02,RO,Ploieşti,humidity,96,33.0,97.3,72.8,3515.29
2024-10-09,RO,Ploieşti,humidity,120,36.9,100.0,62.8,5510.95
2024-12-01,RO,Ploieşti,humidity,120,78.1,97.2,86.0,455.25
2024-02-29,RO,Ploieşti,humidity,48,90.0,100.0,100.0,117.76
2024-02-01,RO,Ploieşti,humidity,48,55.0,100.0,89.0,2822.67
2024-04-04,RO,Ploieşti,humidity,24,27.0,87.0,53.0,3308.75
2024-05-01,RO,Ploieşti,humidity,24,29.8,92.0,46.2,4091.03
2024-05-04,RO,Ploieşti,humidity,24,37.5,100.0,67.5,5879.23
2024-06-21,RO,Ploieşti,humidity,24,28.0,76.1,40.5,2304.35
